population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,16,Philippines,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8339.327740723109,9179.37383335106,7601.57295106247
1,All Population,5,Prevalence,71,Australia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1708151190553051,0.182945028769489,0.1599788985987419
1,All Population,5,Prevalence,71,Australia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,15678.917308591619,16748.19649348564,14672.09455223718
1,All Population,5,Prevalence,58,Estonia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1120581238438382,0.1231692732405765,0.1022505638584649
1,All Population,5,Prevalence,58,Estonia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10515.58629309044,11547.34438713104,9570.732515590471
1,All Population,5,Prevalence,97,Argentina,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1445640453994796,0.161642016791249,0.1301627028603917
1,All Population,5,Prevalence,97,Argentina,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13710.359683257711,15312.558233051472,12330.80505993969
1,All Population,5,Prevalence,92,Spain,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1434837050901248,0.1558629229209805,0.1320759505627503
1,All Population,5,Prevalence,92,Spain,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13204.720257221968,14308.780556317679,12137.86534967532
1,All Population,5,Prevalence,153,Syrian Arab Republic,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1568336268482181,0.1717109913832321,0.1404060067557816
1,All Population,5,Prevalence,153,Syrian Arab Republic,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,15273.00921028308,16737.16796838586,13616.05404662905
1,All Population,5,Prevalence,49,North Macedonia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1133405527011836,0.12587467685374,0.1012690206725244
1,All Population,5,Prevalence,49,North Macedonia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10863.41359670708,12068.72534268147,9681.350783062879
1,All Population,5,Prevalence,142,Iran (Islamic Republic of),3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1777253866111375,0.1932184302048332,0.1614864543800782
1,All Population,5,Prevalence,142,Iran (Islamic Republic of),3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,17284.8385860791,18800.52060370351,15668.981907357771
1,All Population,5,Prevalence,63,Ukraine,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1222122694893074,0.1351293934364573,0.1102677653835971
1,All Population,5,Prevalence,63,Ukraine,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11564.87770954635,12786.816481893558,10401.55246797799
1,All Population,5,Prevalence,189,United Republic of Tanzania,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.102985126842259,0.1124181246045808,0.0939588277565304
1,All Population,5,Prevalence,189,United Republic of Tanzania,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10257.5926096322,11196.10761442212,9356.964190292
1,All Population,5,Prevalence,141,Egypt,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1358944549855528,0.1487986632629709,0.1231511944718531
1,All Population,5,Prevalence,141,Egypt,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13310.3798868228,14596.138968232639,12050.58071035608
1,All Population,5,Prevalence,26,Papua New Guinea,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0964035687812566,0.1082956141035616,0.0846769023663174
1,All Population,5,Prevalence,26,Papua New Guinea,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,9591.85321578928,10778.98572171105,8425.3063876977
1,All Population,5,Prevalence,198,Zimbabwe,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1148723437098546,0.1262896351702062,0.1030900232679809
1,All Population,5,Prevalence,198,Zimbabwe,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11232.62306882051,12332.32457340934,10059.985620429821
1,All Population,5,Prevalence,13,Malaysia,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0827660343927226,0.090870413574369,0.075604117398402
1,All Population,5,Prevalence,13,Malaysia,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8038.648141264231,8845.10911330421,7339.11152564343
1,All Population,5,Prevalence,110,Dominica,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1401939695738807,0.1529942456389124,0.1275237776576663
1,All Population,5,Prevalence,110,Dominica,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13595.59949798159,14831.55705339284,12374.36966664303
1,All Population,5,Prevalence,190,Uganda,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.110231611542221,0.1201628638300854,0.1001708350329471
1,All Population,5,Prevalence,190,Uganda,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10997.46169234986,11984.01470742339,9993.69822770627
1,All Population,5,Prevalence,201,Burkina Faso,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1237993169998469,0.1352076133949534,0.1123100002793765
1,All Population,5,Prevalence,201,Burkina Faso,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12372.61659546241,13512.9180662052,11223.6310818985
1,All Population,5,Prevalence,168,Angola,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1444540512635046,0.1588588691034814,0.1275197515572513
1,All Population,5,Prevalence,168,Angola,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,14403.526611326331,15833.95290025118,12727.75920944933
1,All Population,5,Prevalence,94,Switzerland,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1560236033085033,0.1725113280982236,0.1433019460070097
1,All Population,5,Prevalence,94,Switzerland,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,14312.05719209028,15786.999289778762,13094.49132632279
1,All Population,5,Prevalence,99,Uruguay,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1464248233641685,0.1610629907582279,0.1331157053779032
1,All Population,5,Prevalence,99,Uruguay,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13840.35709027969,15264.14836211714,12570.829352228699
1,All Population,5,Prevalence,18,Thailand,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.0842962836431804,0.0924782870242571,0.0762915114044838
1,All Population,5,Prevalence,18,Thailand,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,8201.09188491603,8999.02232495167,7399.168394108339
1,All Population,5,Prevalence,123,Peru,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1533467043878674,0.16823023032538,0.1407089343831554
1,All Population,5,Prevalence,123,Peru,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,15083.983863870078,16517.78281231943,13837.69865292123
1,All Population,5,Prevalence,155,Türkiye,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1345289349456444,0.146271976478249,0.1239300788908524
1,All Population,5,Prevalence,155,Türkiye,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13095.552542322,14224.14399509464,12069.98705683976
1,All Population,5,Prevalence,129,Honduras,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1090958390453958,0.1178400403541335,0.1003848786439769
1,All Population,5,Prevalence,129,Honduras,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10747.36160209043,11607.95346240919,9896.31842306027
1,All Population,5,Prevalence,200,Benin,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1263677496707781,0.1388692178338543,0.1148557240347541
1,All Population,5,Prevalence,200,Benin,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,12596.670297355058,13841.32007614221,11441.9743787691
1,All Population,5,Prevalence,143,Iraq,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1330199856188446,0.144052486733471,0.1208436817987603
1,All Population,5,Prevalence,143,Iraq,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13006.859344270499,14084.876574773389,11823.55307394044
1,All Population,5,Prevalence,44,Bosnia and Herzegovina,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1215187444627659,0.1355159516777667,0.108201055080924
1,All Population,5,Prevalence,44,Bosnia and Herzegovina,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11737.095455190889,13070.76017147866,10445.36399537936
1,All Population,5,Prevalence,214,Nigeria,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1102737903621803,0.1204609360569951,0.1009676848798311
1,All Population,5,Prevalence,214,Nigeria,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,10998.726378055091,12011.44760418431,10068.426478099931
1,All Population,5,Prevalence,112,Grenada,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1394651116658263,0.1520833811531158,0.1272270293502349
1,All Population,5,Prevalence,112,Grenada,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,13582.8905646003,14816.38032596694,12385.46554493117
1,All Population,5,Prevalence,203,Cabo Verde,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1163132188642867,0.1266797505269537,0.1058205657000207
1,All Population,5,Prevalence,203,Cabo Verde,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,11368.56526414049,12379.26751850093,10336.12353832571
1,All Population,5,Prevalence,136,Paraguay,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1507257623494536,0.1633062151556256,0.1390793345735186
1,All Population,5,Prevalence,136,Paraguay,3,Both,27,Age-standardized,558,Mental disorders,3,Rate,2000,14697.20619200879,15919.800308499929,13559.32956829338
1,All Population,5,Prevalence,68,Republic of Korea,3,Both,27,Age-standardized,558,Mental disorders,2,Percent,2000,0.1188121326572173,0.1291040537926729,0.1094580454706706
