model,internet_coef,tertiary_ed_coef,n
mental_no_ed,3.6838387341736503e-4,NA,2907
mental_with_ed,2.3384140383074184e-4,2.1703359487215178e-4,2907
fert_no_ed,-0.027074620655048922,NA,2907
fert_with_ed,-0.012998513228613928,-0.02270649710795497,2907
